측정소명,초미세먼지,오존
성북구,23,0.006
양천구,32,0.021
영등포구,29,0.021
금천구,30,0.017
동작구,30,0.012
관악구,24,0.018
강서구,27,0.018
구로구,32,0.028
송파구,21,0.006
강동구,27,0.006
서초구,34,0.016
강남구,27,0.015
종로구,23,0.014
용산구,20,0.014
중구,27,0.006
마포구,28,0.011
서대문구,24,0.017
은평구,21,0.03
성동구,23,0.018
광진구,26,0.007
강북구,23,0.022
성북구,22,0.005
동대문구,20,0.004
중랑구,23,0.013
도봉구,22,0.03
노원구,25,0.013
강서구,27,0.012
구로구,36,0.018
양천구,34,0.012
영등포구,29,0.014
금천구,26,0.01
관악구,20,0.006
동작구,27,0.019
송파구,21,0.007
강동구,26,0.003
강남구,25,0.027
서초구,27,0.027
용산구,21,0.018
중구,31,0.007
종로구,26,0.01
은평구,23,0.037
마포구,27,0.007
서대문구,29,0.027
광진구,36,0.01
중랑구,22,0.019
노원구,27,0.013
동대문구,19,0.007
성북구,23,0.006
강북구,25,0.026
도봉구,27,0.035
성동구,21,0.019
양천구,31,0.013
관악구,21,0.013
영등포구,25,0.009
금천구,25,0.006
동작구,27,0.012
구로구,27,0.014
강서구,25,0.015
송파구,21,0.007
강남구,28,0.027
서초구,26,0.028
강동구,28,0.014
종로구,25,0.016
중구,26,0.011
용산구,17,0.027
은평구,20,0.03
서대문구,26,0.018
마포구,23,0.008
광진구,23,0.024
노원구,25,0.012
성북구,23,0.022
도봉구,25,0.036
동대문구,18,0.02
성동구,19,0.03
강북구,22,0.029
중랑구,22,0.023
동작구,26,0.016
강서구,21,0.014
영등포구,21,0.019
금천구,27,0.01
구로구,24,0.023
양천구,26,0.012
관악구,21,0.019
서초구,24,0.027
강남구,23,0.029
송파구,24,0.014
강동구,22,0.019
용산구,20,0.028
중구,26,0.025
종로구,29,0.02
서대문구,27,0.015
은평구,23,0.022
마포구,25,0.023
성북구,23,0.021
강북구,26,0.03
광진구,21,0.031
동대문구,19,0.027
중랑구,22,0.025
도봉구,20,0.032
성동구,21,0.035
노원구,23,0.014
관악구,19,0.019
동작구,28,0.023
양천구,22,0.026
영등포구,21,0.033
금천구,27,0.017
구로구,24,0.03
강서구,20,0.035
강남구,25,0.035
강동구,21,0.028
서초구,22,0.035
송파구,23,0.021
종로구,19,0.031
중구,22,0.032
용산구,17,0.032
서대문구,24,0.03
은평구,27,0.016
마포구,22,0.025
도봉구,24,0.046
성북구,25,0.028
강북구,24,0.032
성동구,19,0.043
노원구,23,0.011
광진구,21,0.034
