측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003310200 ,노원구,26,0.011
202003310200 ,강북구,25,0.023
202003310200 ,성동구,20,0.003
202003310200 ,관악구,17,0.003
202003310200 ,강서구,17,0.021
202003310200 ,구로구,17,0.036
202003310200 ,동작구,26,0.01
202003310200 ,금천구,21,0.002
202003310200 ,영등포구,17,0.024
202003310200 ,양천구,19,0.023
202003310200 ,서초구,23,0.009
202003310200 ,강남구,23,0.012
202003310200 ,강동구,26,0.003
202003310200 ,송파구,23,0.002
202003310100 ,용산구,19,0.005
202003310100 ,종로구,24,0.006
202003310100 ,중구,24,0.01
202003310100 ,서대문구,24,0.016
202003310100 ,마포구,21,0.008
202003310100 ,은평구,24,0.015
202003310100 ,중랑구,23,0.005
202003310100 ,성북구,18,0.025
202003310100 ,성동구,18,0.007
202003310100 ,광진구,36,0.003
202003310100 ,강북구,28,0.018
202003310100 ,도봉구,23,0.029
202003310100 ,동대문구,19,0.003
202003310100 ,노원구,27,0.01
202003310100 ,양천구,20,0.019
202003310100 ,구로구,26,0.013
202003310100 ,관악구,16,0.001
202003310100 ,동작구,30,0.007
202003310100 ,영등포구,17,0.016
202003310100 ,금천구,25,0.002
202003310100 ,강서구,20,0.015
202003310100 ,강남구,25,0.017
202003310100 ,서초구,24,0.012
202003310100 ,강동구,26,0.005
202003310100 ,송파구,24,0.002
202003310000 ,용산구,18,0.014
202003310000 ,중구,22,0.01
202003310000 ,종로구,22,0.01
202003310000 ,은평구,23,0.016
202003310000 ,마포구,16,0.011
202003310000 ,서대문구,23,0.012
202003310000 ,중랑구,21,0.009
202003310000 ,동대문구,18,0.006
202003310000 ,노원구,27,0.008
202003310000 ,성동구,19,0.014
202003310000 ,강북구,25,0.017
202003310000 ,성북구,22,0.006
202003310000 ,도봉구,21,0.023
202003310000 ,광진구,22,0.013
202003310000 ,관악구,18,0.002
202003310000 ,동작구,30,0.006
202003310000 ,강서구,17,0.02
202003310000 ,금천구,23,0.002
202003310000 ,영등포구,16,0.014
202003310000 ,구로구,26,0.009
202003310000 ,양천구,17,0.021
202003310000 ,송파구,21,0.002
202003310000 ,강동구,20,0.013
202003310000 ,서초구,26,0.011
202003310000 ,강남구,23,0.02
202003302300 ,중구,23,0.021
202003302300 ,용산구,19,0.023
202003302300 ,종로구,22,0.012
202003302300 ,은평구,21,0.022
202003302300 ,마포구,17,0.014
202003302300 ,서대문구,26,0.012
202003302300 ,노원구,31,0.006
202003302300 ,강북구,25,0.02
202003302300 ,성북구,18,0.009
202003302300 ,성동구,21,0.024
202003302300 ,동대문구,19,0.012
202003302300 ,광진구,24,0.02
202003302300 ,중랑구,22,0.013
202003302300 ,도봉구,18,0.023
202003302300 ,동작구,34,0.007
202003302300 ,영등포구,20,0.007
202003302300 ,강서구,13,0.015
202003302300 ,금천구,25,0.002
202003302300 ,구로구,26,0.009
202003302300 ,양천구,18,0.012
202003302300 ,관악구,21,0.003
202003302300 ,강남구,23,0.031
202003302300 ,강동구,22,0.023
202003302300 ,송파구,19,0.004
202003302300 ,서초구,23,0.013
202003302200 ,종로구,20,0.017
202003302200 ,용산구,16,0.024
202003302200 ,중구,22,0.02
202003302200 ,은평구,25,0.022
202003302200 ,마포구,16,0.013
202003302200 ,서대문구,23,0.017
202003302200 ,성북구,18,0.014
202003302200 ,노원구,26,0.003
202003302200 ,강북구,24,0.029
202003302200 ,도봉구,21,0.041
202003302200 ,중랑구,20,0.022
202003302200 ,성동구,19,0.029
202003302200 ,광진구,23,0.025
202003302200 ,동대문구,16,0.019
202003302200 ,강서구,15,0.022
202003302200 ,양천구,22,0.016
202003302200 ,금천구,21,0.004
202003302200 ,관악구,19,0.005
202003302200 ,동작구,30,0.011
202003302200 ,구로구,26,0.019
202003302200 ,영등포구,18,0.016
202003302200 ,강남구,25,0.033
202003302200 ,송파구,19,0.02
202003302200 ,서초구,27,0.029
202003302200 ,강동구,20,0.025
202003302100 ,종로구,23,0.026
202003302100 ,용산구,15,0.027
202003302100 ,중구,23,0.028
202003302100 ,은평구,20,0.029
202003302100 ,서대문구,23,0.025
202003302100 ,마포구,19,0.023
202003302100 ,동대문구,17,0.03
202003302100 ,중랑구,22,0.027
202003302100 ,노원구,25,0.015
202003302100 ,강북구,26,0.033
202003302100 ,도봉구,18,0.044
202003302100 ,광진구,22,0.028
202003302100 ,성북구,23,0.019
202003302100 ,성동구,26,0.03
202003302100 ,양천구,20,0.022
202003302100 ,강서구,17,0.032
202003302100 ,영등포구,20,0.027
202003302100 ,동작구,30,0.017
202003302100 ,구로구,26,0.029
202003302100 ,금천구,25,0.006
202003302100 ,관악구,19,0.021
202003302100 ,강동구,23,0.029
202003302100 ,강남구,27,0.022
202003302100 ,서초구,25,0.033
202003302100 ,송파구,24,0.013
202003302000 ,용산구,17,0.027
202003302000 ,중구,21,0.033
202003302000 ,종로구,20,0.034
202003302000 ,마포구,17,0.024
202003302000 ,서대문구,22,0.042
202003302000 ,은평구,23,0.038
202003302000 ,노원구,25,0.032
202003302000 ,중랑구,20,0.032
202003302000 ,도봉구,19,0.043
202003302000 ,성북구,0,0.03
202003302000 ,동대문구,15,0.037
202003302000 ,강북구,22,0.036
202003302000 ,성동구,21,0.026
202003302000 ,광진구,23,0.025
202003302000 ,영등포구,22,0.024
202003302000 ,양천구,23,0.025
202003302000 ,관악구,18,0.023
202003302000 ,동작구,27,0.025
202003302000 ,구로구,27,0.035
202003302000 ,금천구,25,0.02
202003302000 ,강서구,19,0.033
202003302000 ,강동구,24,0.024
202003302000 ,송파구,21,0.019
202003302000 ,서초구,28,0.03
202003302000 ,강남구,29,0.022
202003301900 ,중구,24,0.031
202003301900 ,종로구,21,0.03
202003301900 ,용산구,22,0.03
202003301900 ,서대문구,16,0.04
202003301900 ,은평구,25,0.04
202003301900 ,마포구,17,0.028
202003301900 ,동대문구,18,0.035
202003301900 ,광진구,34,0.027
202003301900 ,도봉구,27,0.041
202003301900 ,성북구,26,0.033
202003301900 ,성동구,25,0.03
202003301900 ,노원구,34,0.032
202003301900 ,중랑구,30,0.032
202003301900 ,강북구,31,0.038
202003301900 ,강서구,19,0.032
202003301900 ,금천구,27,0.029
202003301900 ,영등포구,25,0.029
202003301900 ,동작구,32,0.031
202003301900 ,양천구,29,0.028
202003301900 ,구로구,27,0.04
202003301900 ,관악구,22,0.029
202003301900 ,강동구,33,0.03
202003301900 ,강남구,36,0.03
202003301900 ,서초구,31,0.036
202003301900 ,송파구,22,0.029
202003301800 ,종로구,32,0.032
202003301800 ,중구,32,0.037
202003301800 ,용산구,29,0.042
202003301800 ,은평구,38,0.041
